CEDEAR ARS,Ratio de conversión,CEDEAR D,Subyacente
SPY.BA,20.0,SPYD.BA,SPY
TSLA.BA,15.0,TSLAD.BA,TSLA
AAPL.BA,20.0,AAPLD.BA,AAPL
ADBE.BA,44.0,ADBED.BA,ADBE
ADGO.BA,1.0,ADGOD.BA,AGRO
NVDA.BA,24.0,NVDAD.BA,NVDA
PYPL.BA,8.0,PYPLD.BA,PYPL
BABA.BA,9.0,BABAD.BA,BABA
AMD.BA,10.0,AMDD.BA,AMD
AEM.BA,6.0,AEMD.BA,AEM
DIA.BA,20.0,DIAD.BA,DIA
QQQ.BA,20.0,QQQD.BA,QQQ
MSFT.BA,30.0,MSFTD.BA,MSFT
AMZN.BA,144.0,AMZND.BA,AMZN
GOOGL.BA,58.0,GOGLD.BA,GOOGL
NIO.BA,4.0,NIOD.BA,NIO
BRKB.BA,22.0,BRKBD.BA,BRK.B
AMGN.BA,30.0,AMGND.BA,AMGN
AVGO.BA,39.0,AVGOD.BA,AVGO
XLF.BA,2.0,XLFD.BA,XLF
JNJ.BA,15.0,JNJD.BA,JNJ
COIN.BA,27.0,COIND.BA,COIN
META.BA,24.0,METAD.BA,META
PBR.BA,1.0,PBRD.BA,PBR
DISN.BA,12.0,DISND.BA,DIS
BA.BA,24.0,BAD.BA,BA
BBD.BA,1.0,BBDD.BA,BBD
INTC.BA,5.0,INTCD.BA,INTC
EWZ.BA,2.0,EWZD.BA,EWZ
XLE.BA,2.0,XLED.BA,XLE
VALE.BA,2.0,VALED.BA,VALE
IWM.BA,10.0,IWMD.BA,IWM
BA.C.BA,4.0,BA.CD.BA,BAC
BIOX.BA,1.0,BIOXD.BA,BIOX
BITF.BA,0.2,BITFD.BA,BITF
TEN.BA,1.0,TEND.BA,TS
CVX.BA,16.0,CVXD.BA,CVX
FSLR.BA,18.0,FSLRD.BA,FSLR
GLOB.BA,18.0,GLOBD.BA,GLOB
UPST.BA,5.0,UPSTD.BA,UPST
MCD.BA,24.0,MCDD.BA,MCD
ARKK.BA,10.0,ARKKD.BA,ARKK
C.BA,3.0,CD.BA,C
MSTR.BA,20.0,MSTRD.BA,MSTR
GOLD.BA,2.0,GOLDD.BA,GOLD
IBM.BA,15.0,IBMD.BA,IBM
V.BA,18.0,VD.BA,V
JMIA.BA,1.0,JMIAD.BA,JMIA
NKE.BA,12.0,NKED.BA,NKE
UNH.BA,33.0,UNHD.BA,UNH
JD.BA,4.0,JDD.BA,JD
HUT.BA,0.2,HUTD.BA,HUT
JPM.BA,15.0,JPMD.BA,JPM
TSM.BA,9.0,TSMD.BA,TSM
GILD.BA,4.0,GILDD.BA,GILD
KO.BA,5.0,KOD.BA,KO
NFLX.BA,48.0,NFLXD.BA,NFLX
LLY.BA,56.0,LLYD.BA,LLY
MELI.BA,120.0,MELID.BA,MELI
MMM.BA,10.0,MMMD.BA,MMM
BIDU.BA,11.0,BIDUD.BA,BIDU
PEP.BA,18.0,PEPD.BA,PEP
PAAS.BA,3.0,PAASD.BA,PAAS
OXY.BA,5.0,OXYD.BA,OXY
PFE.BA,4.0,PFED.BA,PFE
PG.BA,15.0,PGD.BA,PG
X.BA,3.0,XD.BA,X
QCOM.BA,11.0,QCOMD.BA,QCOM
HMY.BA,1.0,HMYD.BA,HMY
RIO.BA,8.0,RIOD.BA,RIO
HSY.BA,21.0,HSYD.BA,HSY
CSCO.BA,5.0,CSCOD.BA,CSCO
SBUX.BA,12.0,SBUXD.BA,SBUX
EEM.BA,5.0,EEMD.BA,EEM
SONY.BA,8.0,SONYD.BA,SONY
ORCL.BA,3.0,ORCLD.BA,ORCL
NU.BA,2.0,NUD.BA,NU
PLTR.BA,3.0,PLTRD.BA,PLTR
LAC.BA,1.0,LACD.BA,LAC
AAP.BA,14.0,AAPD.BA,AAP
MUX.BA,2.0,MUXD.BA,MUX
PAGS.BA,3.0,PAGSD.BA,PAGS
STNE.BA,3.0,STNED.BA,STNE
MRVL.BA,14.0,MRVLD.BA,MRVL
SHPW.BA,0.5,SHPWD.BA,SHPWQ
SDA.BA,2.0,SDAD.BA,SDA
AAL.BA,2.0,AALD.BA,AAL
TM.BA,15.0,TMD.BA,TM
DESP.BA,1.0,DESPD.BA,DESP
MO.BA,4.0,MOD.BA,MO
DE.BA,40.0,DED.BA,DE
CAT.BA,20.0,CATD.BA,CAT
SQ.BA,20.0,SQD.BA,SQ
BNG.BA,5.0,BNGD.BA,BG
COST.BA,48.0,COSTD.BA,COST
RTX.BA,5.0,RTXD.BA,RTX
TXR.BA,4.0,TXRD.BA,TX
TXN.BA,5.0,TXND.BA,TXN
ETSY.BA,16.0,ETSYD.BA,ETSY
LYG.BA,2.0,LYGD.BA,LYG
T.BA,3.0,TD.BA,T
F.BA,1.0,FD.BA,F
USB.BA,5.0,USBD.BA,USB
SLB.BA,3.0,SLBD.BA,SLB
AXP.BA,15.0,AXPD.BA,AXP
CRM.BA,18.0,CRMD.BA,CRM
VIST.BA,3.0,VISTD.BA,VIST
SHOP.BA,107.0,SHOPD.BA,SHOP
WBA.BA,3.0,WBAD.BA,WBA
DOW.BA,6.0,DOWD.BA,DOW
BRFS.BA,0.3333333333333333,BRFSD.BA,BRFS
ZM.BA,47.0,ZMD.BA,ZM
GGB.BA,0.25,GGBD.BA,GGB
GE.BA,8.0,GED.BA,GE
PKS.BA,3.0,PKSD.BA,PKX
DEO.BA,6.0,DEOD.BA,DEO
SPGI.BA,45.0,SPGID.BA,SPGI
VOD.BA,1.0,VODD.BA,VOD
ABNB.BA,15.0,ABNBD.BA,ABNB
HAL.BA,2.0,HALD.BA,HAL
ABBV.BA,10.0,ABBVD.BA,ABBV
UL.BA,3.0,ULD.BA,UL
SHEL.BA,2.0,SHELD.BA,SHEL
SATL.BA,1.0,SATLD.BA,SATL
WFC.BA,5.0,WFCD.BA,WFC
NEM.BA,3.0,NEMD.BA,NEM
MRK.BA,5.0,MRKD.BA,MRK
SPOT.BA,28.0,SPOTD.BA,SPOT
GM.BA,6.0,GMD.BA,GM
CDE.BA,1.0,CDED.BA,CDE
TRIP.BA,2.0,TRIPD.BA,TRIP
PANW.BA,50.0,PANWD.BA,PANW
BB.BA,3.0,BB.D.BA,BB
AZN.BA,2.0,AZND.BA,AZN
MA.BA,33.0,MAD.BA,MA
EA.BA,14.0,EAD.BA,EA
AMAT.BA,5.0,AMATD.BA,AMAT
NTCO.BA,1.0,NTCOD.BA,NTCOY
ERJ.BA,1.0,ERJD.BA,ERJ
HD.BA,32.0,HDD.BA,HD
BHP.BA,2.0,BHPD.BA,BHP
SNOW.BA,30.0,SNOWD.BA,SNOW
FDX.BA,10.0,FDXD.BA,FDX
UBER.BA,2.0,UBERD.BA,UBER
ABT.BA,4.0,ABTD.BA,ABT
MU.BA,5.0,MUD.BA,MU
VZ.BA,4.0,VZD.BA,VZ
BIIB.BA,13.0,BIIBD.BA,BIIB
TWLO.BA,36.0,TWLOD.BA,TWLO
ARCO.BA,0.5,ARCOD.BA,ARCO
WMT.BA,18.0,WMTD.BA,WMT
DOCU.BA,22.0,DOCUD.BA,DOCU
RBLX.BA,2.0,RBLXD.BA,RBLX
LMT.BA,20.0,LMTD.BA,LMT
GS.BA,13.0,GSD.BA,GS
ERIC.BA,2.0,ERICD.BA,ERIC
EBAY.BA,2.0,EBAYD.BA,EBAY
ABEV.BA,0.3333333333333333,ABEVD.BA,ABEV
SE.BA,32.0,SED.BA,SE
BP.BA,5.0,BPD.BA,BP
NOKA.BA,1.0,NOKAD.BA,NOK
LRCX.BA,56.0,LRCXD.BA,LRCX
PM.BA,18.0,PMD.BA,PM
CVS.BA,15.0,CVSD.BA,CVS
MDLZ.BA,15.0,MDLZD.BA,MDLZ
DAL.BA,8.0,DALD.BA,DAL
CCL.BA,3.0,CCLD.BA,CCL
ACN.BA,75.0,ACND.BA,ACN
SCHW.BA,13.0,SCHWD.BA,SCHW PR J
MRNA.BA,19.0,MRNAD.BA,0A45
STLA.BA,5.0,STLAD.BA,STLA
BKNG.BA,700.0,BKNGD.BA,BKNG34
TMUS.BA,33.0,TMUSD.BA,TMUS
SPCE.BA,0.5,SPCED.BA,SPCE
RIOT.BA,3.0,RIOTD.BA,RIOT
ROKU.BA,13.0,ROKUD.BA,ROKU
RACE.BA,83.0,RACED.BA,RACE
SWKS.BA,21.0,SWKSD.BA,SWKS
PINS.BA,7.0,PINSD.BA,PINS
GPRK.BA,1.0,GPRKD.BA,GPRK
AIG.BA,5.0,AIGD.BA,AIG
ITUB.BA,1.0,ITUBD.BA,ITUB
UAL.BA,5.0,UALD.BA,UAL
CAR.BA,26.0,CARD.BA,CAR
FCX.BA,3.0,FCXD.BA,FCX
CAH.BA,3.0,CAHD.BA,CAH
MOS.BA,5.0,MOSD.BA,MOS
GFI.BA,1.0,GFID.BA,GFI
BMY.BA,3.0,BMYD.BA,BMY
HMC.BA,1.0,HMCD.BA,HMC
HWM.BA,1.0,HWMD.BA,HWM
BBV.BA,1.0,BBVD.BA,BBVA
GSK.BA,4.0,GSKD.BA,GSK
WBO.BA,6.0,WBOD.BA,WB
CBRD.BA,1.0,CBRDD.BA,CBDBY
XOM.BA,10.0,XOMD.BA,XOM
BK.BA,2.0,BKD.BA,BK
LVS.BA,2.0,LVSD.BA,LVS
TGT.BA,24.0,TGTD.BA,TGT
NTES.BA,14.0,NTESD.BA,NTES
MSI.BA,20.0,MSID.BA,MSI
SYY.BA,8.0,SYYD.BA,SYY
ADP.BA,6.0,ADPD.BA,ADP
ADI.BA,15.0,ADID.BA,ADI
CL.BA,3.0,CLD.BA,CL
AEG.BA,1.0,AEGD.BA,AEG
BSBR.BA,1.0,BSBRD.BA,BSBR
TEFO.BA,8.0,TEFOD.BA,TEF
SAN.BA,0.25,SAND.BA,SAN
HPQ.BA,1.0,HPQD.BA,HPQ
KMB.BA,6.0,KMBD.BA,KMB
HL.BA,1.0,HLD.BA,HL
IBN.BA,1.0,IBND.BA,IBN
CAAP.BA,0.25,CAAPD.BA,CAAP
AMX.BA,1.0,AMXD.BA,AMX
PHG.BA,5.0,PHGD.BA,PHG
TV.BA,3.0,TVD.BA,TV
HON.BA,8.0,HOND.BA,HON
GLW.BA,4.0,GLWD.BA,GLW
INFY.BA,1.0,INFYD.BA,INFY
UGP.BA,1.0,UGPD.BA,UGP
SID.BA,0.125,SIDD.BA,SID
IP.BA,4.0,IPD.BA,IP
KGC.BA,1.0,KGCD.BA,KGC
UNP.BA,20.0,UNPD.BA,UNP
BCS.BA,1.0,BCSD.BA,BCS
PSX.BA,6.0,PSXD.BA,PSX
DD.BA,5.0,DDD.BA,DD
YY.BA,5.0,YYD.BA,YY
